concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
RODOVIA DO AÇO;01/07/2022;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;35421,00
RODOVIA DO AÇO;01/08/2022;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;31711,00
RODOVIA DO AÇO;01/09/2022;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;30618,00
RODOVIA DO AÇO;01/10/2022;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;31577,00
RODOVIA DO AÇO;01/11/2022;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;29208,00
RODOVIA DO AÇO;01/12/2022;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;35402,00
RODOVIA DO AÇO;01/01/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;41565,00
RODOVIA DO AÇO;01/02/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31508,00
RODOVIA DO AÇO;01/03/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30464,00
RODOVIA DO AÇO;01/04/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32172,00
RODOVIA DO AÇO;01/05/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;31313,00
RODOVIA DO AÇO;01/06/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32381,00
RODOVIA DO AÇO;01/07/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;40509,00
RODOVIA DO AÇO;01/08/2023;Crescente ;SAPUCAIA;N/I;Categoria 1;Passeio;33131,00
RODOVIA DO AÇO;01/09/2023;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;34498,00
RODOVIA DO AÇO;01/10/2023;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;33311,00
RODOVIA DO AÇO;01/11/2023;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;32652,00
RODOVIA DO AÇO;01/12/2023;CRESCENTE;SAPUCAIA;N/I;Categoria 1;Passeio;38477,00
